title,author,length
1. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
2. Worthy,By: Jamie Kern Lima,Length: 11 hrs and 26 mins
3. The Graveyard Book: Full-Cast Production,By: Neil Gaiman,Length: 8 hrs and 24 mins
4. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
5. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
6. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
7. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
8. The Chaos Agent,By: Mark Greaney,Length: 17 hrs and 35 mins
9. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
10. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
11. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
12. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
13. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
14. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
15. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
16. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
17. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
18. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
19. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
20. Mostly What God Does,By: Savannah Guthrie,Length: 4 hrs and 52 mins
21. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
22. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
23. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
24. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
25. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
26. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
27. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
28. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
29. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
30. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
31. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
32. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
33. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
"34. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
35. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
36. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
37. It's Not You,By: Ramani Durvasula PhD,Length: 11 hrs and 31 mins
