title,author,length
Tempting Promises,By: Corinne Michaels,Length: 9 hrs and 32 mins
Midnight Valentine,By: J.T. Geissinger,Length: 8 hrs and 4 mins
Handled,By: Eva Sherie,Length: 2 hrs and 40 mins
Mother Faker,By: Brittanee Nicole,Length: 10 hrs and 13 mins
Gene Harvest,By: Joshua Rettew,Length: 19 hrs and 52 mins
Dark Voyage Matters of the Soul,By: I. T. Lucas,Length: 8 hrs and 50 mins
"Psycho Gods: Arans's Story, Book 3",By: Jasmine Mas,Length: 19 hrs and 34 mins
Defiance of the Fall 12,"By: TheFirstDefier, JF Brink",Length: 26 hrs and 24 mins
Dormitory Demon,By: Kirk Mason,Length: 9 hrs and 46 mins
Killing Booth,By: Lani Lynn Vale,Length: 5 hrs and 55 mins
Infernal Creatures,"By: Caroline Peckham, Susanne Valenti",Length: 14 hrs and 37 mins
The Justice,"By: James Patterson, Aaron Cooley",Length: 2 hrs and 57 mins
Passions in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
Claim Me Forever,By: A.L. Jackson,Length: 13 hrs and 21 mins
Sterling Brick,By: L.B. Dunbar,Length: 10 hrs and 45 mins
Crown,By: Nicoli Gonnella,Length: 22 hrs and 7 mins
Faith & the Dead End Devils,"By: Kathryn Moon, Moonstruck Cover Design",Length: 14 hrs and 58 mins
Missing Before Daylight,By: Carolyn Arnold,Length: 8 hrs and 53 mins
Through the Eyes of Desperation,By: Aron Beauregard,Length: 7 hrs and 41 mins
The Surrogate,By: Penelope Ward,Length: 9 hrs and 52 mins
